model,id,closestMatch
ETV 1000 Caponord / Rally Raid,6164,No Match Found
"CB 250 NDX-B, NB",6180,No Match Found
CB 250 NDX - Super Dream,6181,No Match Found
"CB 400 A, N, NA, NB, NC",6190,No Match Found
GL 500I Silverwing / Interstate,6200,No Match Found
"CBX 550 FC, F2, F2C",6201,No Match Found
660  Baghira / Mastiff,6208,No Match Found
XV 250 Virago 0.00(V-Star),6221,No Match Found
XVS 650 V-Star Custom,6240,No Match Found
XVS 650 V-Star Midnight Custom,6241,No Match Found
XVS 650 V-Star Silverado,6242,No Match Found
XV 700 Virago All Models,6248,No Match Found
XV 750 Virago All Models,6249,No Match Found
XV 1000 Virago All Models,6254,No Match Found
XV 1100 Virago All Models,6256,No Match Found
"XC 125 Cygnus 1995-1996,",6262,No Match Found
125 X-MAX/City Max,6276,No Match Found
GSM 125 (Disc Brake),6293,No Match Found
350  Alp  4.0,6323,No Match Found
350  Euro / Jonathon,6324,No Match Found
"CAT EXT 580, EFI, M.C.",6368,No Match Found
"CAT JAG 275, 340, 3000",6376,No Match Found
CAT Z 370/ES/ESR,6434,No Match Found
CAT Z 570/ES/ESR,6436,No Match Found
"CAT Z, ZL 440, 500, 600",6438,No Match Found
"CAT ZR 440,500,580,600,EFI",6443,No Match Found
CAT ZR 500/600/700 EFI,6444,No Match Found
"CAT ZRT 600, 800 (H.A.)",6450,No Match Found
MX Z 500 ADRENALINE SS RER,6493,No Match Found
MX Z 600 ADRENALINE HO RER,6497,No Match Found
SDI RER MX Z 600 RENEGADE HO RER,6499,No Match Found
"SDI RER MX Z 600 RENEGADE HO, X",6501,No Match Found
MX Z 600 X HO SDI RER,6504,No Match Found
"400, INDY SKS",6550,No Match Found
440 PRO X FAN COOLED,6553,No Match Found
"440, INDY SKS",6557,No Match Found
500 XC SP EDGE M-10 F/O,6565,No Match Found
500 XC SP EDGE STOCK B,6566,No Match Found
500 XC SP EDGE X F/O,6567,No Match Found
500/600 XC SP EDGE/M-10,6572,No Match Found
"500/600/700 XC, SP",6573,No Match Found
600 HO IQ/LX CLEANFIRE,6578,No Match Found
